org_name,count,in_crosswalk
None on file,57240,no
None received,50964,no
NONE RECEIVED,19786,no
California Chamber of Commerce,11238,yes
California State Association of Counties,8752,yes
League of California Cities,7545,yes
California Teachers Association,7344,yes
California Medical Association,6923,yes
Unknown,6577,no
California District Attorneys Association,6445,no
END,6138,no
California Attorneys for Criminal Justice,5979,yes
California School Employees Association,5954,yes
None,5924,no
Sierra Club California,5807,yes
California,5396,no
California Public Defenders Association,5249,yes
American Civil Liberties Union,5203,yes
Planning and Conservation League,5145,yes
California Nurses Association,5072,yes
California Federation of Teachers,5037,yes
California Professional Firefighters,4986,yes
California State Sheriffs' Association,4962,yes
Consumer Attorneys of California,4562,yes
"California Labor Federation, AFL-CIO",4544,yes
None known,4395,no
Western Center on Law and Poverty,4322,yes
California Teamsters Public Affairs Council,4314,yes
Department of Finance,4284,yes
California Labor Federation,4100,yes
California Retailers Association,4003,yes
Natural Resources Defense Council,3952,yes
California Association of Realtors,3899,yes
California Police Chiefs Association,3856,yes
None Known,3814,no
Congress of California Seniors,3779,yes
Association of California Water Agencies,3707,yes
"American Federation of State, County and Municipal Employees",3678,yes
California Rural Legal Assistance Foundation,3629,yes
Peace Officers Research Association of California,3491,yes
California Farm Bureau Federation,3442,yes
California Building Industry Association,3410,yes
California Catholic Conference,3389,yes
California Apartment Association,3368,yes
City of Los Angeles,3227,yes
California Business Properties Association,3204,yes
"National Association of Social Workers, California Chapter",3144,yes
California School Boards Association,3060,yes
Sierra Club,3052,yes
Consumers Union,2941,no
California League of Conservation Voters,2923,yes
California Hospital Association,2844,yes
Association of California School Administrators,2800,yes
Association,2750,no
Consumer Federation of California,2734,yes
Los Angeles Unified School District,2717,yes
Service Employees International Union,2686,no
Disability Rights California,2682,yes
California Manufacturers and Technology Association,2508,yes
California State PTA,2497,yes
"American Federation of State, County and Municipal Employees, AFL-CIO",2488,yes
California Special Districts Association,2439,yes
Children Now,2436,yes
Friends Committee on Legislation of California,2391,yes
California Grocers Association,2388,yes
Rural County Representatives of California,2368,yes
California Peace Officers' Association,2305,yes
None Received,2300,no
City and County of San Francisco,2288,yes
California Immigrant Policy Center,2267,yes
Howard Jarvis Taxpayers Association,2227,yes
"American Federation of State, County and Municipal",2223,no
Health Access California,2220,yes
California Bankers Association,2206,yes
Clean Water Action,2134,yes
Employees,2088,no
California Conference of Machinists,2050,no
California Association of Health Plans,2036,yes
None on File,2001,no
Environment California,1981,yes
California Municipal Utilities Association,1940,yes
Planned Parenthood Affiliates of California,1929,yes
East Bay Municipal Utility District,1926,yes
Regional Council of Rural Counties,1905,yes
California Manufacturers & Technology Association,1897,yes
Riverside Sheriffs' Association,1884,no
Los Angeles County District Attorney's Office,1879,no
Defenders of Wildlife,1864,yes
California Restaurant Association,1842,no
California Alliance for Retired Americans,1835,yes
Los Angeles County Office of Education,1834,yes
California Taxpayers Association,1820,yes
California State Association of Electrical Workers,1810,yes
Ella Baker Center for Human Rights,1787,yes
National Federation of Independent Business,1776,yes
Association for Los Angeles Deputy Sheriffs,1761,yes
California State Pipe Trades Council,1750,yes
Californians Against Waste,1747,no
California Tax Reform Association,1744,yes
Western Center on Law & Poverty,1738,yes
Western States Petroleum Association,1709,yes
Civil Justice Association of California,1680,yes
County of Los Angeles,1680,yes
Equality California,1675,yes
California Manufacturers Association,1654,no
Los Angeles County Board of Supervisors,1624,yes
Housing California,1620,yes
American Civil Liberties Union of California,1618,yes
California Academy of Family Physicians,1609,yes
League of Women Voters of California,1603,yes
California Faculty Association,1602,yes
Western Growers Association,1587,yes
University of California,1579,yes
ACLU California Action,1570,yes
Bay Area Council,1564,yes
Coalition for Clean Air,1525,yes
City of San Diego,1523,yes
AARP,1519,yes
Legal Services for Prisoners with Children,1515,yes
Crime Victims United of California,1497,yes
Agricultural Council of California,1489,yes
County of Santa Clara,1489,yes
Personal Insurance Federation of California,1488,yes
Public Counsel,1465,yes
Children's Advocacy Institute,1460,yes
Association of Regional Center Agencies,1458,yes
California State Employees Association,1448,no
California Trucking Association,1448,no
Association of California Insurance Companies,1435,no
California Primary Care Association,1425,no
California Psychiatric Association,1425,yes
County of San Diego,1421,yes
California Association of Highway Patrolmen,1419,no
Environmental Working Group,1418,yes
Los Angeles Police Protective League,1399,yes
Silicon Valley Leadership Group,1395,yes
California Correctional Peace Officers Association,1391,no
Orange County Business Council,1377,yes
Union of Concerned Scientists,1376,yes
California Pan-Ethnic Health Network,1364,yes
City of Oakland,1337,yes
Association of California Healthcare Districts,1328,yes
California State University,1325,no
None to date,1322,no
California State Commanders Veterans Council,1316,yes
One individual,1316,yes
Environmental Defense Fund,1308,yes
California Advocates for Nursing Home Reform,1304,no
California State Council of Laborers,1296,yes
California Dental Association,1295,no
Attorney General,1282,no
City of San Jose,1280,yes
California Association of Health Facilities,1275,yes
Initiate Justice,1275,yes
Southern California Edison,1271,yes
California Alliance of Child and Family Services,1270,yes
None registered,1268,no
California Conference Board of the Amalgamated Transit Union,1259,no
American Lung Association,1247,yes
Secretary of State,1246,no
AFSCME,1239,yes
Los Angeles Area Chamber of Commerce,1216,yes
Kaiser Permanente,1213,yes
Los Angeles County Professional Peace Officers Association,1208,no
California Employment Lawyers Association,1204,yes
California Cattlemen's Association,1197,yes
California Judges Association,1194,yes
SEIU California,1192,yes
California Healthcare Association,1189,no
Urban Counties Caucus,1189,yes
California Association of Sanitation Agencies,1182,yes
County Welfare Directors Association of California,1182,yes
Wine Institute,1181,yes
Department of Insurance,1165,no
Southwest California Legislative Council,1165,yes
Chief Probation Officers of California,1158,yes
Drug Policy Alliance,1157,yes
Courage California,1156,yes
Judicial Council of California,1155,yes
Santa Clara County Board of Supervisors,1155,yes
California Commission on the Status of Women,1151,no
State Building and Construction Trades Council,1144,yes
Center for Biological Diversity,1143,yes
County of Sacramento,1142,yes
California Women's Law Center,1134,yes
City of Thousand Oaks,1133,yes
California National Organization for Women,1125,yes
National Center for Youth Law,1121,yes
California Senior Legislature,1120,yes
Los Angeles County Sheriff's Department,1119,yes
City of,1117,no
City of Sacramento,1112,yes
Doris Tate Crime Victims Bureau,1101,no
Western States Council of Sheet Metal Workers,1099,yes
The Nature Conservancy,1095,yes
California Commission on Aging,1088,yes
California Public Interest Research Group,1084,yes
City of West Hollywood,1084,yes
Automobile Club of Southern California,1082,no
California League of Food Processors,1081,yes
